f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 c
0.6705 0.2337 0.2059 0.1010 0.0480 0.0251 0.0958 0.0550 60.0006 45.1391 3 
0.7717 0.2091 0.2349 0.0728 0.0499 0.0274 0.1211 0.0841 75.1427 82.5741 3 
0.7410 0.1949 0.2136 0.0726 0.0657 0.0356 0.0693 0.0554 42.6027 40.1670 3 
0.7353 0.2316 0.1970 0.0900 0.0608 0.0286 0.1077 0.0998 66.9888 96.5796 3 
0.6555 0.2390 0.2074 0.1144 0.0798 0.0442 0.0513 0.0431 32.7179 33.9175 3 
0.7877 0.2253 0.2559 0.1077 0.0555 0.0285 0.0847 0.0930 57.9422 99.3073 3 
0.5902 0.2120 0.1633 0.0782 0.0456 0.0306 0.1109 0.0686 73.1663 54.9146 3 
0.5920 0.2739 0.1821 0.1051 0.0448 0.0322 0.1467 0.1303 118.6662 143.6508 3 
0.6100 0.3128 0.2032 0.1328 0.0652 0.0541 0.0964 0.0906 73.9738 86.6978 3 
0.7368 0.2095 0.2180 0.0933 0.0341 0.0221 0.1377 0.0793 101.0165 75.6702 3 
0.6100 0.3128 0.2032 0.1328 0.0652 0.0541 0.0964 0.0906 73.9738 86.6978 3 
0.5362 0.2071 0.1566 0.0631 0.0264 0.0174 0.1723 0.0985 140.9356 101.7778 3 
0.3591 0.0455 0.1291 0.0246 0.0319 0.0157 0.1551 0.0854 109.8702 75.7915 3 
0.2582 0.1694 0.0768 0.0560 0.0603 0.0319 0.0517 0.0339 31.5979 23.4394 3 
0.2962 0.0971 0.0849 0.0306 0.0446 0.0305 0.1132 0.0697 76.1583 59.3665 3 
0.3472 0.1304 0.0902 0.0398 0.0494 0.0446 0.1108 0.0596 82.3731 54.6184 3 
0.2016 0.1189 0.0691 0.0468 0.0566 0.0481 0.1049 0.0707 70.0188 61.8146 3 
0.3278 0.1188 0.0938 0.0399 0.0442 0.0337 0.1272 0.0682 87.1026 58.3571 3 
0.2426 0.1283 0.0712 0.0429 0.0647 0.0306 0.0797 0.0542 51.7930 46.9724 3 
0.3102 0.1148 0.1010 0.0499 0.0757 0.0545 0.0876 0.0743 61.6227 74.2588 3 
0.4250 0.1536 0.1114 0.0379 0.0259 0.0125 0.1500 0.0557 109.8358 57.1797 3 
0.3857 0.1437 0.1037 0.0437 0.0496 0.0312 0.1176 0.0587 84.2476 58.0686 3 
0.3536 0.1089 0.0989 0.0388 0.0431 0.0303 0.1045 0.0478 69.5557 39.8160 3 
0.3592 0.1246 0.1059 0.0407 0.0374 0.0232 0.1385 0.0647 90.6695 63.7239 3 
0.3344 0.0928 0.1017 0.0346 0.0690 0.0430 0.0726 0.0391 40.6952 27.6534 3 
0.2195 0.1256 0.0627 0.0448 0.0443 0.0292 0.1522 0.0745 111.8390 81.6559 3 
0.2953 0.0928 0.0892 0.0332 0.0839 0.0490 0.0541 0.0310 34.8698 23.2438 3 
0.3553 0.1397 0.0935 0.0383 0.0274 0.0141 0.1576 0.0535 107.9834 56.5140 3 
0.3536 0.1170 0.1057 0.0355 0.0349 0.0143 0.0831 0.0303 63.5485 25.9250 3 
0.3512 0.1133 0.1012 0.0367 0.0419 0.0232 0.1160 0.0650 73.5787 54.7065 3 
0.3560 0.1196 0.1019 0.0446 0.0563 0.0333 0.1007 0.0601 70.8931 62.0914 3 
0.4389 0.2396 0.1510 0.1110 0.0511 0.0415 0.1016 0.0660 83.2976 67.7986 3 
0.0670 0.0486 0.0162 0.0120 0.0571 0.0200 0.0587 0.0329 47.0891 28.5301 4 
0.2554 0.1407 0.0497 0.0298 0.0715 0.0322 0.0578 0.0305 56.3124 30.5242 4 
0.1731 0.1107 0.0340 0.0256 0.0652 0.0214 0.0445 0.0146 37.6927 12.5003 4 
0.2605 0.1115 0.0644 0.0473 0.1150 0.0561 0.0477 0.0229 42.9845 19.7398 4 
0.3157 0.1469 0.0855 0.0464 0.0910 0.0557 0.0577 0.0303 50.4115 27.6701 4 
0.2826 0.1315 0.0687 0.0342 0.0823 0.0405 0.0480 0.0264 44.3946 25.6677 4 
0.2344 0.1180 0.0648 0.0458 0.1030 0.0422 0.0647 0.0267 64.1126 26.2816 4 
0.3400 0.1164 0.0820 0.0383 0.0880 0.0489 0.0462 0.0258 35.2170 22.5408 4 
0.2090 0.0712 0.0432 0.0241 0.1051 0.0333 0.0316 0.0117 29.7352 10.7362 4 
0.1876 0.1540 0.0378 0.0309 0.0979 0.0554 0.0328 0.0215 32.4230 20.6611 4 
0.2372 0.1209 0.0534 0.0266 0.0553 0.0240 0.0768 0.0268 62.3269 30.6168 4 
0.1180 0.0626 0.0281 0.0144 0.0530 0.0242 0.0634 0.0217 49.2830 25.8947 4 
0.1655 0.0573 0.0452 0.0178 0.0641 0.0243 0.0609 0.0180 39.7735 14.6311 4 
0.1059 0.0918 0.0220 0.0193 0.0899 0.0373 0.0643 0.0343 66.2781 36.1150 4 
0.2070 0.0941 0.0540 0.0238 0.0524 0.0263 0.0734 0.0253 61.2402 32.2041 4 
0.1767 0.1169 0.0367 0.0253 0.0707 0.0259 0.0697 0.0351 67.0096 39.5753 4 
0.1715 0.1207 0.0444 0.0291 0.0542 0.0248 0.0839 0.0401 54.8811 30.2953 4 
0.1789 0.0670 0.0416 0.0172 0.0464 0.0192 0.0875 0.0260 62.7464 25.9743 4 
0.1583 0.0557 0.0299 0.0133 0.0762 0.0247 0.0553 0.0197 47.5594 19.9588 4 
0.0707 0.0466 0.0189 0.0148 0.1098 0.0482 0.0324 0.0226 28.8355 21.4542 4 
0.1735 0.0820 0.0417 0.0183 0.0311 0.0170 0.1813 0.0860 129.5871 78.8314 4 
0.1356 0.0615 0.0287 0.0210 0.1026 0.0487 0.0510 0.0249 45.9003 18.4464 4 
0.2478 0.1002 0.0598 0.0293 0.0721 0.0271 0.0799 0.0306 65.8390 26.9621 4 
0.2104 0.1150 0.0484 0.0278 0.0503 0.0281 0.0930 0.0508 68.8067 43.3113 4 
0.1801 0.1069 0.0538 0.0317 0.0772 0.0343 0.0634 0.0272 50.0082 24.4547 4 
0.0544 0.0310 0.0104 0.0103 0.1459 0.0726 0.0578 0.0537 55.4852 48.2157 4 
0.1242 0.0604 0.0339 0.0144 0.0660 0.0391 0.0623 0.0261 47.2197 28.8070 4 
0.1740 0.0972 0.0375 0.0226 0.0527 0.0212 0.0746 0.0235 63.0454 26.9766 4 
0.1224 0.0564 0.0317 0.0138 0.0422 0.0148 0.0992 0.0318 72.2079 26.3540 4 
0.0795 0.0384 0.0167 0.0108 0.0749 0.0260 0.0843 0.0534 72.3324 47.6595 4 
0.1318 0.0464 0.0375 0.0128 0.0539 0.0258 0.0722 0.0300 61.9657 32.0085 4 
0.1167 0.0811 0.0314 0.0220 0.0747 0.0375 0.0608 0.0336 44.3551 23.1096 4 
0.1953 0.1364 0.0550 0.0370 0.0800 0.0336 0.0421 0.0205 35.0995 17.2027 4 
0.4156 0.1304 0.1129 0.0374 0.0525 0.0259 0.0793 0.0475 76.9751 56.9645 4 
0.2387 0.0958 0.0593 0.0294 0.0806 0.0278 0.0377 0.0115 34.3000 9.2580 4 
0.2849 0.1327 0.0770 0.0309 0.0376 0.0150 0.0995 0.0566 99.7387 59.1073 4 
0.3192 0.1320 0.0743 0.0402 0.0758 0.0390 0.0514 0.0204 45.9045 21.3581 4 
0.2847 0.1162 0.0720 0.0295 0.0574 0.0214 0.0663 0.0238 53.3887 21.1133 4 
0.2529 0.1229 0.0657 0.0324 0.0677 0.0319 0.0764 0.0338 64.2119 31.9877 4 
0.3382 0.0785 0.1101 0.0425 0.0704 0.0283 0.0548 0.0246 51.6452 21.3348 4 
0.2594 0.1334 0.0697 0.0362 0.0465 0.0256 0.1005 0.0466 95.5046 48.7027 4 
0.2816 0.1619 0.0780 0.0591 0.0579 0.0204 0.0611 0.0295 55.7064 29.6930 4 
0.3267 0.1326 0.0908 0.0388 0.0648 0.0395 0.0857 0.0288 75.7225 30.8640 4 
0.1760 0.0823 0.0586 0.0352 0.0814 0.0337 0.0496 0.0235 43.5407 25.6942 4 
0.2764 0.0958 0.0697 0.0330 0.0753 0.0285 0.0425 0.0145 38.2321 11.0424 4 
0.3098 0.1366 0.0951 0.0527 0.0724 0.0416 0.0585 0.0205 56.2642 20.9367 4 
0.1547 0.0685 0.0394 0.0193 0.0465 0.0194 0.0933 0.0437 65.1117 36.3129 4 
0.1729 0.0670 0.0403 0.0183 0.0565 0.0238 0.0791 0.0257 60.8213 23.0305 4 
0.4292 0.1681 0.1483 0.0920 0.0859 0.0440 0.0648 0.0442 57.3306 41.7529 4 
0.4818 0.0657 0.1370 0.0385 0.0568 0.0184 0.0813 0.0285 44.5019 17.0922 4 
0.1953 0.1364 0.0550 0.0370 0.0799 0.0336 0.0422 0.0203 35.1213 17.2107 4 
0.4751 0.1357 0.1140 0.0612 0.0723 0.0338 0.0773 0.0445 49.3483 32.8645 4 
0.4146 0.1294 0.1129 0.0374 0.0524 0.0259 0.0793 0.0478 77.1319 57.3549 4 
0.4360 0.1128 0.0996 0.0499 0.0650 0.0246 0.0649 0.0248 50.0538 19.1419 4 
0.2387 0.0957 0.0593 0.0294 0.0805 0.0277 0.0377 0.0115 34.3051 9.2576 4 
0.5443 0.0902 0.1567 0.0410 0.0460 0.0213 0.1149 0.0440 68.3736 30.5989 4 
0.1647 0.0838 0.0505 0.0377 0.0872 0.0412 0.0617 0.0364 50.9445 29.5691 4 
0.2849 0.1326 0.0770 0.0309 0.0374 0.0150 0.0996 0.0565 99.7861 59.1341 4 
0.4250 0.1419 0.1095 0.0646 0.1181 0.0605 0.0380 0.0270 30.0545 22.9643 4 
0.3194 0.1321 0.0743 0.0402 0.0750 0.0388 0.0523 0.0209 46.1738 21.4051 4 
0.6123 0.0906 0.1562 0.0509 0.0483 0.0234 0.0944 0.0335 60.9422 23.3166 4 
0.2851 0.1163 0.0720 0.0295 0.0565 0.0211 0.0674 0.0240 53.8167 21.2112 4 
0.4836 0.1143 0.1315 0.0384 0.0402 0.0186 0.0988 0.0311 66.4131 27.2921 4 
0.5590 0.0944 0.1506 0.0470 0.0576 0.0257 0.0559 0.0146 38.5854 12.6335 4 
0.2528 0.1228 0.0657 0.0324 0.0677 0.0319 0.0764 0.0338 64.2194 31.9899 4 
0.4673 0.0975 0.1097 0.0442 0.0565 0.0232 0.0884 0.0315 75.4536 28.9862 4 
0.3382 0.0786 0.1101 0.0425 0.0703 0.0283 0.0549 0.0249 51.7079 21.4208 4 
0.2815 0.1617 0.0780 0.0591 0.0578 0.0204 0.0611 0.0295 55.7261 29.7029 4 
0.3272 0.1326 0.0909 0.0388 0.0633 0.0384 0.0874 0.0289 76.5095 30.7547 4 
0.1755 0.0809 0.0586 0.0352 0.0808 0.0336 0.0499 0.0235 43.6653 25.8020 4 
0.2765 0.0958 0.0697 0.0330 0.0752 0.0284 0.0425 0.0145 38.2389 11.0439 4 
0.3098 0.1366 0.0951 0.0527 0.0723 0.0415 0.0586 0.0205 56.2812 20.9291 4 
0.4077 0.1529 0.1065 0.0479 0.0404 0.0199 0.1298 0.0435 95.8370 33.1996 4 
0.3384 0.2100 0.0836 0.0608 0.0567 0.0266 0.0956 0.0430 76.8070 38.0781 4 
0.4513 0.1652 0.1103 0.0562 0.0442 0.0268 0.1265 0.0444 98.7211 32.0025 4 
0.2981 0.1411 0.0685 0.0376 0.0611 0.0201 0.0687 0.0277 58.5885 26.1307 4 
0.4550 0.1598 0.1106 0.0440 0.0386 0.0174 0.1310 0.0379 110.2846 37.8322 4 
0.3201 0.1509 0.0907 0.0563 0.0555 0.0282 0.0958 0.0375 84.4452 38.3831 4 
0.2321 0.0944 0.0533 0.0209 0.0447 0.0158 0.1078 0.0370 72.8125 37.0702 4 
0.2644 0.0844 0.0615 0.0182 0.0297 0.0114 0.1403 0.0358 102.2444 33.6433 4 
0.1390 0.0641 0.0324 0.0147 0.0601 0.0307 0.1000 0.0622 70.5517 76.1299 4 
0.1785 0.0823 0.0389 0.0165 0.0299 0.0200 0.2067 0.1056 164.9990 115.0307 4 
0.2448 0.0798 0.0549 0.0221 0.0365 0.0180 0.1496 0.0613 96.0962 53.2948 4 
0.1606 0.0678 0.0360 0.0191 0.0524 0.0294 0.1182 0.0551 81.0926 51.0278 4 
0.2357 0.0941 0.0525 0.0239 0.0359 0.0178 0.1476 0.0478 115.7405 46.9164 4 
0.1803 0.0732 0.0382 0.0174 0.0278 0.0152 0.2617 0.0881 227.3707 104.0419 4 
0.1166 0.0899 0.0331 0.0287 0.1135 0.0731 0.0424 0.0288 27.6798 19.5054 4 
0.2560 0.1146 0.0535 0.0295 0.0774 0.0377 0.0690 0.0325 48.8056 29.5919 4 
0.1131 0.0768 0.0221 0.0184 0.1175 0.0658 0.0625 0.0583 49.0755 52.8761 4 
0.1656 0.0573 0.0328 0.0149 0.0671 0.0196 0.0540 0.0152 39.6612 10.0536 4 
0.1032 0.0642 0.0249 0.0209 0.0788 0.0487 0.1511 0.1309 144.2507 144.2854 4 
0.1236 0.0844 0.0270 0.0263 0.1093 0.0586 0.0750 0.0792 66.6730 88.4235 4 
0.1338 0.0420 0.0273 0.0100 0.0488 0.0169 0.0815 0.0265 56.9228 20.2642 4 
0.0970 0.0499 0.0237 0.0171 0.1068 0.0467 0.0410 0.0193 37.0263 20.4039 4 
0.1880 0.0708 0.0463 0.0233 0.0741 0.0378 0.0633 0.0291 45.4379 25.2301 4 
0.1240 0.0641 0.0302 0.0201 0.0770 0.0469 0.0775 0.0460 59.2387 39.1384 4 
0.0480 0.0297 0.0102 0.0103 0.1242 0.0570 0.0392 0.0214 36.1031 18.1483 4 
0.1675 0.0650 0.0438 0.0212 0.0743 0.0392 0.0580 0.0354 39.9566 25.4145 4 
0.1009 0.0502 0.0272 0.0180 0.1016 0.0486 0.0458 0.0229 33.2305 18.4523 4 
0.3096 0.0504 0.0777 0.0156 0.0262 0.0090 0.1530 0.0413 98.0499 36.9681 5 
0.4335 0.1195 0.1096 0.0252 0.0243 0.0092 0.1285 0.0313 93.0919 26.6843 5 
0.5076 0.1127 0.1330 0.0305 0.0245 0.0110 0.1668 0.0473 125.1529 51.0225 5 
0.2258 0.0467 0.0525 0.0101 0.0230 0.0085 0.1924 0.0488 133.6277 49.0106 5 
0.3960 0.1449 0.1033 0.0401 0.0293 0.0088 0.1345 0.0363 84.6866 29.7885 5 
0.1778 0.0404 0.0409 0.0107 0.0236 0.0114 0.1981 0.0578 153.2295 57.0053 5 
0.2333 0.0546 0.0585 0.0145 0.0265 0.0085 0.1684 0.0435 111.2094 46.7879 5 
0.1897 0.0510 0.0438 0.0187 0.0375 0.0156 0.1404 0.0711 91.9959 62.5957 5 
0.8624 0.0753 0.2310 0.0379 0.0351 0.0089 0.0947 0.0236 50.2729 13.7562 5 
0.4002 0.0704 0.0943 0.0132 0.0212 0.0072 0.1966 0.0430 139.1739 42.5129 5 
0.6946 0.0556 0.1860 0.0216 0.0203 0.0058 0.1717 0.0284 124.5030 27.4507 5 
0.3955 0.0604 0.0887 0.0122 0.0236 0.0073 0.1771 0.0271 131.8649 26.9387 5 
0.3136 0.0666 0.0711 0.0118 0.0195 0.0070 0.2037 0.0371 153.4910 38.9479 5 
0.2656 0.0742 0.0591 0.0157 0.0261 0.0100 0.1853 0.0366 141.5402 37.4651 5 
0.3626 0.0668 0.0872 0.0147 0.0251 0.0069 0.1693 0.0362 107.6985 32.3530 5 
0.8584 0.1163 0.2308 0.0371 0.0184 0.0074 0.1797 0.0396 143.8832 41.6696 5 
0.3909 0.0819 0.0991 0.0192 0.0235 0.0070 0.1589 0.0470 92.8015 44.9061 5 
0.4084 0.0605 0.0972 0.0109 0.0174 0.0097 0.1804 0.0396 156.0181 42.1075 5 
0.3556 0.1312 0.0887 0.0303 0.0235 0.0102 0.1616 0.0476 103.5623 43 5 
0.3968 0.1284 0.1007 0.0338 0.0263 0.0088 0.1524 0.0456 91.4865 38.7074 5 
0.3649 0.0994 0.0914 0.0322 0.0251 0.0108 0.1917 0.0510 137.6303 55.7648 5 
0.6214 0.1850 0.1599 0.0525 0.0341 0.0136 0.1070 0.0322 67.7034 26.8836 5 
0.6675 0.1473 0.1537 0.0387 0.0380 0.0131 0.1320 0.0414 78.4353 36.4757 5 
0.6895 0.0887 0.1665 0.0346 0.0323 0.0094 0.1285 0.0422 78.0391 33.2802 5 
0.3256 0.1065 0.0773 0.0230 0.0426 0.0217 0.1262 0.0452 85.1889 38.2174 5 
0.4547 0.0869 0.1140 0.0232 0.0241 0.0080 0.1984 0.0432 146.0264 48.3190 5 
0.5215 0.1006 0.1417 0.0311 0.0248 0.0078 0.1285 0.0284 82.2743 22.3269 5 
0.4773 0.0656 0.1200 0.0196 0.0195 0.0064 0.1802 0.0360 136.8639 34.8364 5 
0.3234 0.1242 0.0741 0.0213 0.0292 0.0124 0.1634 0.0579 113.2052 51.2161 5 
0.6471 0.1331 0.1731 0.0579 0.0581 0.0199 0.0512 0.0176 28.7664 9.5257 5 
0.7078 0.1625 0.1779 0.0453 0.0311 0.0123 0.1253 0.0425 81.2759 37.3912 5 
0.4356 0.1286 0.1141 0.0355 0.0288 0.0149 0.1482 0.0394 106.2859 37.4240 5 
0.7610 0.1057 0.1923 0.0401 0.0464 0.0259 0.1000 0.0478 60.2451 34.7730 5 
0.3073 0.1087 0.0779 0.0193 0.0232 0.0079 0.1611 0.0574 125.1585 69.6251 5 
0.7921 0.1463 0.2165 0.0571 0.0279 0.0152 0.1629 0.0565 114.2248 49.5889 5 
0.3919 0.1148 0.0937 0.0276 0.0238 0.0084 0.1606 0.0489 105.8736 50.2261 5 
0.3585 0.0724 0.0915 0.0200 0.0263 0.0087 0.1238 0.0412 89.8082 36.6541 5 
0.4619 0.2593 0.1268 0.0877 0.0423 0.0261 0.1483 0.0592 105.1134 60.2957 5 
0.4289 0.1510 0.0950 0.0459 0.0574 0.0329 0.0884 0.0402 52.0517 26.5381 5 
0.3533 0.0869 0.0919 0.0240 0.0220 0.0084 0.1665 0.0463 128.4639 48.6408 5 
0.3302 0.0997 0.0776 0.0212 0.0264 0.0087 0.1375 0.0330 102.8085 31.5896 5 
0.3099 0.0870 0.0795 0.0196 0.0238 0.0080 0.1519 0.0315 118.9770 31.5071 5 
0.3082 0.1311 0.0794 0.0310 0.0223 0.0112 0.1773 0.0632 141.5192 62.2823 5 
0.3188 0.1026 0.0790 0.0260 0.0221 0.0066 0.1713 0.0408 124.0333 38.5028 5 
0.2826 0.1202 0.0695 0.0342 0.0326 0.0189 0.1442 0.0622 108.9104 66.0450 5 
0.7209 0.1236 0.1762 0.0294 0.0243 0.0076 0.1639 0.0306 112.4566 31.3065 5 
0.7307 0.1345 0.1874 0.0403 0.0240 0.0080 0.1783 0.0418 127.0867 41.1938 5 
0.7684 0.1493 0.1820 0.0347 0.0227 0.0067 0.1768 0.0276 126.2914 29.1618 5 
0.7543 0.1269 0.1784 0.0315 0.0221 0.0068 0.1942 0.0276 139.2540 30.5583 5 
0.8164 0.1353 0.2064 0.0429 0.0250 0.0073 0.1777 0.0292 118.7386 28.7649 5 
0.7749 0.1453 0.1884 0.0379 0.0221 0.0069 0.2287 0.0487 171.9292 52.1455 5 
0.8160 0.1641 0.2084 0.0527 0.0249 0.0133 0.1624 0.0455 118.4996 43.2629 5 
0.7729 0.1642 0.1962 0.0533 0.0255 0.0078 0.1729 0.0341 115.3447 34.6473 5 
0.7384 0.1426 0.1705 0.0354 0.0229 0.0076 0.1960 0.0407 138.7069 44.0782 5 
0.7880 0.1401 0.1919 0.0391 0.0238 0.0073 0.1971 0.0336 140.7187 35.7846 5 
0.7917 0.1382 0.2014 0.0439 0.0259 0.0090 0.1796 0.0346 124.2236 32.2948 5 
0.6846 0.1708 0.1591 0.0489 0.0334 0.0153 0.1440 0.0415 100.4584 36.5412 5 
0.5860 0.1105 0.1566 0.0332 0.0216 0.0068 0.1430 0.0339 100.4819 29.9136 5 
0.5887 0.0987 0.1438 0.0329 0.0220 0.0087 0.1500 0.0329 107.5517 32.0790 5 
0.4168 0.0968 0.1005 0.0259 0.0247 0.0100 0.1396 0.0402 94.2226 37.6219 5 
0.3533 0.0869 0.0919 0.0240 0.0220 0.0084 0.1665 0.0463 128.4639 48.6408 5 
0.3302 0.0997 0.0776 0.0212 0.0264 0.0087 0.1375 0.0330 102.8085 31.5896 5 
0.3099 0.0870 0.0795 0.0196 0.0238 0.0080 0.1519 0.0315 118.9770 31.5071 5 
0.3082 0.1311 0.0794 0.0310 0.0223 0.0112 0.1773 0.0632 141.5192 62.2823 5 
0.3188 0.1026 0.0790 0.0260 0.0221 0.0066 0.1713 0.0408 124.0333 38.5028 5 
0.2826 0.1202 0.0695 0.0342 0.0326 0.0189 0.1442 0.0622 108.9104 66.0450 5 
0.4404 0.1261 0.1131 0.0422 0.0318 0.0114 0.1202 0.0385 79.5182 34.5346 5 
0.3366 0.1081 0.0845 0.0280 0.0263 0.0118 0.1307 0.0420 93.8116 36.5579 5 
0.4718 0.0992 0.1421 0.0350 0.0648 0.0220 0.0539 0.0259 29.1203 13.8311 5 
0.1628 0.0920 0.0445 0.0250 0.0359 0.0175 0.1426 0.0622 94.7395 62.5502 5 
0.3806 0.1560 0.1026 0.0437 0.0281 0.0126 0.1538 0.0545 103.5137 50.9078 5 
0.5400 0.0781 0.1579 0.0343 0.0353 0.0134 0.1169 0.0393 74.5517 32.3104 5 
0.8471 0.1190 0.2244 0.0597 0.0352 0.0139 0.1215 0.0428 76.6637 33.1481 5 
0.1268 0.0343 0.0320 0.0107 0.0381 0.0186 0.1347 0.0577 83.5821 48.4419 5 
0.7021 0.2084 0.1810 0.0736 0.0427 0.0177 0.0889 0.0394 54.0893 28.0350 5 
0.3264 0.1420 0.0835 0.0436 0.0281 0.0132 0.1626 0.0534 114.4701 56.6197 5 
0.5026 0.0992 0.1211 0.0240 0.0233 0.0070 0.1601 0.0348 108.0163 33.6079 5 
0.8336 0.1378 0.2193 0.0487 0.0332 0.0113 0.1321 0.0463 82.6614 38.2719 5 
0.4198 0.1473 0.1093 0.0407 0.0319 0.0115 0.1439 0.0442 97.0937 42.9501 5 
0.4703 0.1916 0.1236 0.0532 0.0318 0.0135 0.1442 0.0536 90.5161 49.4913 5 
0.6124 0.1365 0.1431 0.0361 0.0255 0.0095 0.1221 0.0278 87.9068 24.7360 5 
0.4300 0.1327 0.1161 0.0395 0.0235 0.0074 0.1413 0.0313 95.5803 35.1257 5 
0.6549 0.1306 0.1555 0.0417 0.0314 0.0123 0.1229 0.0447 77.5760 35.4423 5 
0.7510 0.2007 0.1942 0.0600 0.0251 0.0101 0.1388 0.0461 99.9133 40.4744 5 
0.5430 0.2049 0.1305 0.0454 0.0249 0.0098 0.1578 0.0396 110.2793 36.8169 5 
0.3011 0.0841 0.0724 0.0187 0.0249 0.0106 0.1591 0.0464 114.7882 42.7692 5 
0.8591 0.1208 0.2197 0.0408 0.0248 0.0081 0.1871 0.0429 127.2621 37.4562 5 
0.4042 0.1828 0.1270 0.0638 0.0515 0.0309 0.0924 0.0464 57.0564 36.2747 5 
0.6738 0.1654 0.1589 0.0604 0.0721 0.0276 0.0467 0.0265 27.5860 15.6493 5 
0.4463 0.0996 0.1059 0.0294 0.0525 0.0196 0.0848 0.0424 56.2872 34.6149 5 
0.3907 0.1313 0.0922 0.0349 0.0327 0.0144 0.1201 0.0463 86.9536 43.2752 5 
0.5148 0.1610 0.1296 0.0331 0.0385 0.0123 0.0934 0.0331 62.0486 24.0935 5 
0.3013 0.0827 0.0764 0.0232 0.0327 0.0108 0.1415 0.0397 85.4520 37.0302 5 
0.3073 0.1087 0.0779 0.0193 0.0232 0.0079 0.1611 0.0574 125.1585 69.6251 5 
0.5898 0.1916 0.1528 0.0729 0.0326 0.0145 0.1211 0.0489 76.9529 42.0088 5 
0.6067 0.1897 0.1547 0.0608 0.0365 0.0168 0.1284 0.0597 76.9193 45.8944 5 
0.5546 0.1955 0.1436 0.0633 0.0514 0.0303 0.0863 0.0447 50.3349 31.4884 5 
0.4507 0.2358 0.1172 0.0720 0.0432 0.0330 0.1158 0.0607 80.3031 55.8989 5 
0.5460 0.2020 0.1466 0.0664 0.0447 0.0220 0.1081 0.0565 72.6742 54.2929 5 
